beneficiary_id,trust_id,beneficiary_name,beneficiary_ssn,date_of_birth,relationship,beneficiary_type,allocation_pct,natural_person,status,effective_date
BN-001,TR-001,Maria L. Johnson,987-65-4321,1977-08-20,SPOUSE,PRI,40.00,Y,A,2015-03-10
BN-002,TR-001,Emily R. Johnson,876-54-3210,2002-04-15,CHILD,PRI,20.00,Y,A,2015-03-10
BN-003,TR-001,Michael A. Johnson,765-43-2109,2005-09-22,CHILD,PRI,20.00,Y,A,2015-03-10
BN-004,TR-001,Robert Johnson Sr.,111-22-3333,1948-12-01,PARENT,CON,20.00,Y,D,2015-03-10
BN-005,TR-002,David K. Williams,654-32-1098,1984-03-18,SPOUSE,PRI,50.00,Y,A,2018-07-15
BN-006,TR-002,Emma G. Williams,543-21-0987,2010-11-30,CHILD,PRI,50.00,Y,A,2018-07-15
BN-007,TR-003,Maria L. Johnson,987-65-4321,1977-08-20,SPOUSE,PRI,33.33,Y,A,2012-01-20
BN-008,TR-003,Emily R. Johnson,876-54-3210,2002-04-15,CHILD,PRI,33.33,Y,A,2012-01-20
BN-009,TR-003,Michael A. Johnson,765-43-2109,2005-09-22,CHILD,PRI,33.34,Y,A,2012-01-20
BN-010,TR-006,Lisa Chen,432-10-9876,1992-06-14,SPOUSE,PRI,30.00,Y,A,2020-02-28
BN-011,TR-006,Kevin T. Chen,321-09-8765,2018-01-25,CHILD,PRI,20.00,Y,A,2020-02-28
BN-012,TR-006,Amy M. Chen,210-98-7654,2020-07-10,CHILD,PRI,20.00,Y,A,2020-02-28
BN-013,TR-006,Chen Family Foundation,,,,CON,15.00,N,A,2020-02-28
BN-014,TR-006,Thomas Chen,109-87-6543,1960-03-30,PARENT,CON,10.00,Y,A,2020-02-28
BN-015,TR-006,Mary Chen,098-76-5432,1962-11-15,PARENT,REM,5.00,Y,D,2020-02-28
BN-016,TR-007,David Park,456-78-9012,1988-05-19,SELF,PRI,100.00,Y,A,2019-11-05
BN-017,TR-008,Philadelphia Art Museum,,,,PRI,60.00,N,A,2017-04-12
BN-018,TR-008,Sarah M. Williams,234-56-7890,1982-07-22,GRANTOR,PRI,40.00,Y,A,2017-04-12
BN-019,TR-009,City of Philadelphia General Fund,,,,PRI,100.00,N,A,2008-01-15
BN-020,TR-010,Emily R. Johnson,876-54-3210,2002-04-15,CHILD,PRI,100.00,Y,A,2021-08-20
BN-021,TR-012,David K. Williams,654-32-1098,1984-03-18,SPOUSE,PRI,34.00,Y,A,2022-01-10
BN-022,TR-012,Emma G. Williams,543-21-0987,2010-11-30,CHILD,PRI,33.00,Y,A,2022-01-10
BN-023,TR-012,Williams Family Scholarship Fund,,,,PRI,33.00,N,A,2022-01-10
BN-024,TR-013,PA Department of Transportation,,,,PRI,100.00,N,A,2006-11-30
BN-025,TR-015,Emily R. Johnson,876-54-3210,2002-04-15,GRANDCHILD,PRI,25.00,Y,A,2019-05-15
BN-026,TR-015,Michael A. Johnson,765-43-2109,2005-09-22,GRANDCHILD,PRI,25.00,Y,A,2019-05-15
BN-027,TR-015,Future Grandchild 1,,,GRANDCHILD,CON,25.00,Y,A,2019-05-15
BN-028,TR-015,Future Grandchild 2,,,GRANDCHILD,CON,25.00,Y,A,2019-05-15
